lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-longitudinal [rad^2], MSAD-transversal [rad^2],MLAD [um x rad]
0.075,1.572697e-02,5.592079e-03,1.423302e-01,1.279282e-03,6.855274e-03
0.15,2.385598e-02,1.093757e-02,2.294019e-01,2.434592e-03,-7.639198e-03
0.22499999999999998,3.009117e-02,1.662181e-02,2.931024e-01,3.685586e-03,-1.401475e-02
0.3,3.810468e-02,2.178961e-02,3.550952e-01,4.859610e-03,-1.639777e-02
0.375,4.562329e-02,2.595685e-02,4.289076e-01,5.980197e-03,-2.186887e-02
0.44999999999999996,5.389455e-02,2.982354e-02,5.162207e-01,6.953357e-03,-2.943059e-02
0.525,6.484428e-02,3.380134e-02,5.849496e-01,7.754345e-03,-4.453649e-02
0.6,7.530861e-02,3.706120e-02,6.629225e-01,8.408129e-03,-5.609763e-02
0.6749999999999999,8.351289e-02,3.995148e-02,7.619460e-01,9.100817e-03,-6.887683e-02
0.75,9.168130e-02,4.273540e-02,8.668635e-01,9.826353e-03,-8.214455e-02
0.825,1.001862e-01,4.581296e-02,9.607701e-01,1.072216e-02,-9.868923e-02
0.8999999999999999,1.089444e-01,4.945039e-02,1.050515e+00,1.165417e-02,-1.149654e-01
0.975,1.160310e-01,5.344188e-02,1.161613e+00,1.268393e-02,-1.297283e-01
1.05,1.202272e-01,5.788444e-02,1.256279e+00,1.373181e-02,-1.472279e-01
1.125,1.257927e-01,6.193061e-02,1.357987e+00,1.475661e-02,-1.605652e-01
1.2,1.310072e-01,6.574011e-02,1.449774e+00,1.581088e-02,-1.789961e-01
1.275,1.386614e-01,6.930835e-02,1.557783e+00,1.681941e-02,-1.942531e-01
1.3499999999999999,1.466904e-01,7.225505e-02,1.675287e+00,1.787657e-02,-2.116932e-01
1.425,1.561573e-01,7.600100e-02,1.756368e+00,1.895350e-02,-2.305027e-01
1.5,1.663567e-01,7.940543e-02,1.860548e+00,2.010736e-02,-2.462102e-01
1.575,1.752411e-01,8.302191e-02,1.954026e+00,2.127862e-02,-2.691829e-01
1.65,1.848562e-01,8.690838e-02,2.063322e+00,2.240586e-02,-2.910971e-01
1.7249999999999999,1.950473e-01,9.113163e-02,2.173785e+00,2.347779e-02,-3.118054e-01
1.7999999999999998,2.057226e-01,9.490369e-02,2.281475e+00,2.453553e-02,-3.350944e-01
1.875,2.148325e-01,9.901783e-02,2.393901e+00,2.559273e-02,-3.630724e-01
1.95,2.261872e-01,1.028698e-01,2.509405e+00,2.658936e-02,-3.825086e-01
2.025,2.366793e-01,1.064349e-01,2.598830e+00,2.768012e-02,-4.015102e-01
2.1,2.467367e-01,1.100454e-01,2.693026e+00,2.879785e-02,-4.211131e-01
2.175,2.558400e-01,1.146185e-01,2.800542e+00,2.987703e-02,-4.421313e-01
2.25,2.644364e-01,1.199058e-01,2.909006e+00,3.102599e-02,-4.590070e-01
2.3249999999999997,2.711601e-01,1.253211e-01,3.009842e+00,3.198349e-02,-4.775425e-01
2.4,2.778510e-01,1.309495e-01,3.108952e+00,3.302580e-02,-4.995906e-01
2.475,2.853491e-01,1.359129e-01,3.192491e+00,3.413657e-02,-5.179981e-01
2.55,2.914096e-01,1.412434e-01,3.273758e+00,3.538934e-02,-5.340309e-01
2.625,2.993671e-01,1.469653e-01,3.358610e+00,3.685280e-02,-5.419785e-01
2.6999999999999997,3.058158e-01,1.526988e-01,3.416440e+00,3.829690e-02,-5.523785e-01
2.775,3.108803e-01,1.579279e-01,3.486717e+00,3.983518e-02,-5.602341e-01
2.85,3.181537e-01,1.631755e-01,3.563645e+00,4.145376e-02,-5.679634e-01
2.925,3.256299e-01,1.681984e-01,3.643612e+00,4.315142e-02,-5.740337e-01
3.0,3.317438e-01,1.734731e-01,3.713119e+00,4.489846e-02,-5.798171e-01
3.0749999999999997,3.379146e-01,1.793606e-01,3.770511e+00,4.660278e-02,-5.846979e-01
3.15,3.442632e-01,1.861213e-01,3.849144e+00,4.835309e-02,-5.904372e-01
3.225,3.490644e-01,1.925824e-01,3.945872e+00,4.983844e-02,-5.940116e-01
3.3,3.569645e-01,1.985549e-01,4.021939e+00,5.133556e-02,-5.996550e-01
3.375,3.629005e-01,2.044384e-01,4.085289e+00,5.295373e-02,-6.046078e-01
3.4499999999999997,3.690746e-01,2.098757e-01,4.145231e+00,5.467812e-02,-6.124509e-01
3.525,3.737964e-01,2.149391e-01,4.205880e+00,5.648555e-02,-6.248791e-01
3.5999999999999996,3.790143e-01,2.199786e-01,4.286017e+00,5.833539e-02,-6.367699e-01
3.675,3.853226e-01,2.245982e-01,4.361448e+00,6.026933e-02,-6.459586e-01
3.75,3.900574e-01,2.291867e-01,4.429962e+00,6.230944e-02,-6.583808e-01
