lag time [sec], MSD-longitudinal [um^2],MSD-transverse [um^2],MSAD-longitudinal [rad^2], MSAD-transverse [rad^2],MLAD [um x rad]
0.075,1.789656e-01,1.580268e-02,0.000000e+00,0.000000e+00,-1.864727e-02
0.15,2.040127e-01,2.978322e-02,3.663978e-01,2.248939e-03,-1.713351e-02
0.22499999999999998,2.001248e-01,4.343617e-02,5.683619e-01,4.359272e-03,-1.738522e-03
0.3,2.471031e-01,5.556881e-02,8.576618e-01,6.243314e-03,-2.878298e-02
0.375,2.600306e-01,6.771915e-02,1.188966e+00,8.281095e-03,-1.012429e-02
0.44999999999999996,2.768674e-01,8.119284e-02,1.546607e+00,1.022565e-02,3.508876e-03
0.525,2.900236e-01,9.712623e-02,1.854218e+00,1.214696e-02,1.453071e-02
0.6,3.213204e-01,1.119996e-01,2.207191e+00,1.420900e-02,3.064973e-02
0.6749999999999999,3.471415e-01,1.272948e-01,2.504400e+00,1.609078e-02,5.903676e-02
0.75,3.908609e-01,1.424423e-01,2.772736e+00,1.822698e-02,6.089416e-02
0.825,3.992557e-01,1.581367e-01,3.128050e+00,2.045933e-02,9.850920e-02
0.8999999999999999,4.293282e-01,1.729244e-01,3.347150e+00,2.272695e-02,1.222337e-01
0.975,4.642817e-01,1.893440e-01,3.627964e+00,2.476529e-02,1.191008e-01
1.05,4.747748e-01,2.053911e-01,3.888399e+00,2.719154e-02,1.605360e-01
1.125,4.870604e-01,2.226074e-01,4.131876e+00,2.971975e-02,1.385184e-01
1.2,5.267889e-01,2.385918e-01,4.381633e+00,3.221203e-02,1.383087e-01
1.275,5.324822e-01,2.543702e-01,4.652751e+00,3.510596e-02,1.251860e-01
1.3499999999999999,5.608380e-01,2.714619e-01,4.968855e+00,3.796960e-02,1.225024e-01
1.425,6.125616e-01,2.901149e-01,5.283041e+00,4.080450e-02,1.074788e-01
1.5,6.253456e-01,3.073186e-01,5.621305e+00,4.338690e-02,9.556345e-02
1.575,6.408431e-01,3.230993e-01,5.906503e+00,4.588215e-02,7.168638e-02
1.65,6.715048e-01,3.394658e-01,6.202053e+00,4.849436e-02,5.184353e-02
1.7249999999999999,6.846218e-01,3.564392e-01,6.477386e+00,5.093129e-02,3.510201e-02
1.7999999999999998,6.907832e-01,3.747486e-01,6.791466e+00,5.331772e-02,2.281681e-02
1.875,7.006723e-01,3.928541e-01,7.046302e+00,5.585878e-02,1.992537e-02
1.95,7.151858e-01,4.124124e-01,7.310863e+00,5.854672e-02,-1.893198e-02
2.025,7.306632e-01,4.316405e-01,7.552786e+00,6.150548e-02,-1.951382e-02
2.1,7.517094e-01,4.496470e-01,7.851366e+00,6.435906e-02,-2.129273e-02
2.175,7.769485e-01,4.683700e-01,8.129191e+00,6.714670e-02,-1.718922e-02
2.25,7.891603e-01,4.891450e-01,8.416391e+00,6.992290e-02,-2.187625e-02
2.3249999999999997,7.944501e-01,5.111099e-01,8.693134e+00,7.277541e-02,-2.876848e-02
2.4,8.020133e-01,5.333871e-01,8.999196e+00,7.574929e-02,-5.657003e-02
2.475,8.098866e-01,5.558901e-01,9.244220e+00,7.886987e-02,-8.634724e-02
2.55,8.373660e-01,5.770173e-01,9.563930e+00,8.181814e-02,-8.346253e-02
2.625,8.359607e-01,5.970737e-01,9.844393e+00,8.465982e-02,-1.540074e-01
2.6999999999999997,8.445986e-01,6.190319e-01,1.014785e+01,8.769714e-02,-1.837099e-01
2.775,8.851119e-01,6.402582e-01,1.042119e+01,9.082489e-02,-2.047880e-01
2.85,8.752966e-01,6.619798e-01,1.068768e+01,9.423547e-02,-2.336495e-01
2.925,8.818557e-01,6.824151e-01,1.095578e+01,9.780694e-02,-2.473004e-01
3.0,9.034630e-01,7.051187e-01,1.122043e+01,1.015060e-01,-2.553323e-01
3.0749999999999997,9.097490e-01,7.292600e-01,1.148789e+01,1.052441e-01,-2.616036e-01
3.15,9.101945e-01,7.524240e-01,1.175394e+01,1.092504e-01,-3.119231e-01
3.225,9.047770e-01,7.758436e-01,1.204569e+01,1.133433e-01,-3.324572e-01
3.3,9.086634e-01,8.010046e-01,1.230163e+01,1.175224e-01,-3.806098e-01
3.375,8.933126e-01,8.253501e-01,1.255169e+01,1.214536e-01,-3.800031e-01
3.4499999999999997,9.042766e-01,8.525623e-01,1.282684e+01,1.255191e-01,-3.845878e-01
3.525,9.147225e-01,8.789650e-01,1.309573e+01,1.298159e-01,-4.177539e-01
3.5999999999999996,9.002462e-01,9.036328e-01,1.337455e+01,1.340154e-01,-4.747973e-01
3.675,9.150130e-01,9.295137e-01,1.359541e+01,1.380865e-01,-4.919514e-01
3.75,8.932910e-01,9.576889e-01,1.389264e+01,1.424389e-01,-5.126609e-01
