lag time [sec], MSD-longitudinal [um^2],MSD-transverse [um^2],MSAD-longitudinal [rad^2], MSAD-transverse [rad^2],MLAD [um x rad]
0.075,1.072297e-01,2.187976e-02,0.000000e+00,0.000000e+00,-2.340328e-03
0.15,1.369308e-01,4.543723e-02,3.821009e-01,4.938492e-03,2.125135e-02
0.22499999999999998,1.653528e-01,6.837769e-02,6.416386e-01,1.051499e-02,3.570687e-02
0.3,1.808377e-01,9.198908e-02,8.243317e-01,1.549553e-02,5.744473e-02
0.375,1.995785e-01,1.167782e-01,9.714919e-01,2.101691e-02,5.747893e-02
0.44999999999999996,2.143202e-01,1.401843e-01,1.170293e+00,2.539193e-02,7.184090e-02
0.525,2.339912e-01,1.624629e-01,1.364153e+00,2.935290e-02,7.696668e-02
0.6,2.812571e-01,1.844388e-01,1.547128e+00,3.357951e-02,8.111389e-02
0.6749999999999999,3.275673e-01,2.080400e-01,1.731798e+00,3.721496e-02,1.020757e-01
0.75,3.478899e-01,2.311924e-01,1.823114e+00,4.027159e-02,7.193819e-02
0.825,3.782663e-01,2.540194e-01,1.954442e+00,4.314090e-02,4.292260e-02
0.8999999999999999,3.878134e-01,2.782674e-01,2.009489e+00,4.562907e-02,1.935764e-02
0.975,4.104626e-01,3.059889e-01,2.107031e+00,4.802359e-02,3.496475e-02
1.05,4.381068e-01,3.340382e-01,2.151481e+00,5.111666e-02,2.720538e-02
1.125,4.744709e-01,3.611953e-01,2.278107e+00,5.473274e-02,1.565237e-02
1.2,4.947206e-01,3.881228e-01,2.361485e+00,5.859983e-02,-3.424477e-03
1.275,5.054105e-01,4.126304e-01,2.379517e+00,6.308628e-02,-5.002094e-02
1.3499999999999999,5.102292e-01,4.364673e-01,2.452068e+00,6.748305e-02,-5.594300e-02
1.425,5.391912e-01,4.616560e-01,2.555660e+00,7.218950e-02,-5.847995e-02
1.5,5.565096e-01,4.863910e-01,2.661040e+00,7.641892e-02,-6.614029e-02
1.575,5.976532e-01,5.091285e-01,2.757955e+00,8.000665e-02,-8.246468e-02
1.65,6.164286e-01,5.342797e-01,2.868292e+00,8.280182e-02,-7.913866e-02
1.7249999999999999,6.238289e-01,5.615325e-01,2.885666e+00,8.543185e-02,-9.333669e-02
1.7999999999999998,6.385024e-01,5.873774e-01,2.943545e+00,8.755897e-02,-1.068119e-01
1.875,6.552071e-01,6.137449e-01,3.053049e+00,8.957131e-02,-1.563435e-01
1.95,6.867190e-01,6.390526e-01,3.109921e+00,9.219666e-02,-1.527239e-01
2.025,7.161237e-01,6.633215e-01,3.203446e+00,9.507688e-02,-1.718181e-01
2.1,7.377702e-01,6.882730e-01,3.325780e+00,9.822990e-02,-2.089347e-01
2.175,7.484821e-01,7.132686e-01,3.467615e+00,1.018005e-01,-2.336705e-01
2.25,7.545090e-01,7.407346e-01,3.558923e+00,1.051456e-01,-2.580939e-01
2.3249999999999997,7.699520e-01,7.675829e-01,3.693209e+00,1.086995e-01,-2.748354e-01
2.4,7.780381e-01,7.987966e-01,3.854613e+00,1.121486e-01,-3.085443e-01
2.475,7.835781e-01,8.320013e-01,3.982747e+00,1.156233e-01,-3.303455e-01
2.55,7.991798e-01,8.661630e-01,4.075283e+00,1.197890e-01,-3.549877e-01
2.625,7.950951e-01,9.013247e-01,4.241093e+00,1.228740e-01,-3.904831e-01
2.6999999999999997,8.014160e-01,9.329009e-01,4.397338e+00,1.254968e-01,-4.327363e-01
2.775,7.914274e-01,9.646109e-01,4.457271e+00,1.281416e-01,-4.659624e-01
2.85,7.840853e-01,9.956181e-01,4.641200e+00,1.304366e-01,-4.704297e-01
2.925,7.966499e-01,1.022108e+00,4.787605e+00,1.330369e-01,-4.736208e-01
3.0,7.993823e-01,1.048829e+00,4.932949e+00,1.359300e-01,-5.163392e-01
3.0749999999999997,8.074295e-01,1.077759e+00,5.022148e+00,1.393563e-01,-5.351036e-01
3.15,8.032180e-01,1.110543e+00,5.111547e+00,1.434455e-01,-5.439549e-01
3.225,8.144786e-01,1.141158e+00,5.134890e+00,1.482403e-01,-5.611086e-01
3.3,8.496015e-01,1.174154e+00,5.096873e+00,1.526480e-01,-5.630709e-01
3.375,8.606933e-01,1.208644e+00,5.113617e+00,1.565550e-01,-5.363555e-01
3.4499999999999997,9.076185e-01,1.245602e+00,5.041015e+00,1.606295e-01,-5.241020e-01
3.525,8.924992e-01,1.280533e+00,5.065178e+00,1.649732e-01,-5.159891e-01
3.5999999999999996,9.165063e-01,1.315988e+00,5.114283e+00,1.693464e-01,-5.290245e-01
3.675,9.368326e-01,1.350296e+00,5.173338e+00,1.738785e-01,-5.142372e-01
3.75,9.572287e-01,1.382204e+00,5.175127e+00,1.784109e-01,-5.212165e-01
