lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-longitudinal [rad^2], MSAD-transversal [rad^2],MLAD [um x rad]
0.075,2.279024e-02,5.158220e-03,0.000000e+00,0.000000e+00,3.636841e-03
0.15,2.950394e-02,9.801861e-03,1.917473e-01,1.433776e-03,6.675740e-03
0.22499999999999998,4.075511e-02,1.473173e-02,2.229782e-01,3.004364e-03,2.423533e-03
0.3,5.148280e-02,1.927801e-02,2.641459e-01,4.600002e-03,4.766566e-03
0.375,6.490749e-02,2.399840e-02,3.024208e-01,6.080524e-03,-1.124635e-03
0.44999999999999996,7.309730e-02,2.832236e-02,3.719531e-01,7.485502e-03,-1.273874e-03
0.525,8.157053e-02,3.320141e-02,4.240638e-01,8.889326e-03,6.693976e-04
0.6,9.068353e-02,3.795553e-02,4.199949e-01,1.050018e-02,9.105847e-03
0.6749999999999999,9.749995e-02,4.184077e-02,4.718645e-01,1.224712e-02,1.315320e-02
0.75,1.047128e-01,4.571146e-02,5.176653e-01,1.413861e-02,2.514932e-02
0.825,1.107201e-01,4.964967e-02,5.435583e-01,1.622052e-02,3.236586e-02
0.8999999999999999,1.151404e-01,5.296476e-02,5.409762e-01,1.826129e-02,4.041723e-02
0.975,1.189895e-01,5.663387e-02,5.621517e-01,2.036880e-02,4.493869e-02
1.05,1.247804e-01,6.075688e-02,6.031403e-01,2.251339e-02,5.880452e-02
1.125,1.292144e-01,6.487133e-02,6.318291e-01,2.456363e-02,6.529944e-02
1.2,1.381918e-01,6.865978e-02,6.551087e-01,2.682732e-02,7.798160e-02
1.275,1.411942e-01,7.305053e-02,7.313009e-01,2.912397e-02,8.862774e-02
1.3499999999999999,1.473798e-01,7.790152e-02,7.820055e-01,3.142457e-02,9.576593e-02
1.425,1.534642e-01,8.248424e-02,8.312678e-01,3.379351e-02,1.095135e-01
1.5,1.595970e-01,8.698358e-02,8.987986e-01,3.604672e-02,1.159478e-01
1.575,1.665894e-01,9.131361e-02,9.685792e-01,3.817079e-02,1.348765e-01
1.65,1.752079e-01,9.524508e-02,1.032310e+00,4.015292e-02,1.479617e-01
1.7249999999999999,1.816248e-01,9.931172e-02,1.099201e+00,4.228055e-02,1.647557e-01
1.7999999999999998,1.864491e-01,1.035901e-01,1.154473e+00,4.435485e-02,1.783729e-01
1.875,1.946477e-01,1.074447e-01,1.222970e+00,4.633713e-02,1.934212e-01
1.95,2.026672e-01,1.109188e-01,1.266584e+00,4.820029e-02,2.053382e-01
2.025,2.120738e-01,1.141552e-01,1.316217e+00,5.017795e-02,2.289759e-01
2.1,2.209692e-01,1.175062e-01,1.387589e+00,5.216447e-02,2.395521e-01
2.175,2.313538e-01,1.201512e-01,1.456499e+00,5.403459e-02,2.550017e-01
2.25,2.409251e-01,1.228085e-01,1.503306e+00,5.595915e-02,2.607073e-01
2.3249999999999997,2.452892e-01,1.252782e-01,1.582843e+00,5.772698e-02,2.730807e-01
2.4,2.497820e-01,1.280681e-01,1.646719e+00,5.955335e-02,2.789572e-01
2.475,2.521550e-01,1.310738e-01,1.707088e+00,6.144330e-02,2.880462e-01
2.55,2.597050e-01,1.345086e-01,1.783070e+00,6.342586e-02,3.032075e-01
2.625,2.662196e-01,1.379900e-01,1.858378e+00,6.543519e-02,3.202325e-01
2.6999999999999997,2.724266e-01,1.415177e-01,1.932403e+00,6.732360e-02,3.365007e-01
2.775,2.806203e-01,1.445292e-01,1.982005e+00,6.909785e-02,3.499624e-01
2.85,2.893503e-01,1.476742e-01,2.075696e+00,7.108478e-02,3.709160e-01
2.925,2.983264e-01,1.513060e-01,2.144962e+00,7.319610e-02,3.894080e-01
3.0,3.046456e-01,1.548622e-01,2.219654e+00,7.533225e-02,4.018069e-01
3.0749999999999997,3.122028e-01,1.576418e-01,2.266605e+00,7.747841e-02,4.172903e-01
3.15,3.173974e-01,1.605731e-01,2.355536e+00,7.962703e-02,4.367281e-01
3.225,3.245370e-01,1.629659e-01,2.470637e+00,8.187397e-02,4.525720e-01
3.3,3.287054e-01,1.654184e-01,2.522295e+00,8.423701e-02,4.692956e-01
3.375,3.307523e-01,1.679196e-01,2.613280e+00,8.664117e-02,4.866756e-01
3.4499999999999997,3.334056e-01,1.703671e-01,2.717816e+00,8.896966e-02,5.012842e-01
3.525,3.344056e-01,1.724518e-01,2.803007e+00,9.142169e-02,5.132792e-01
3.5999999999999996,3.400497e-01,1.745643e-01,2.876974e+00,9.410381e-02,5.294735e-01
3.675,3.447194e-01,1.770583e-01,2.921730e+00,9.684727e-02,5.371617e-01
3.75,3.519259e-01,1.789313e-01,2.996537e+00,9.951725e-02,5.459503e-01
