lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-transversal [rad^2]
0.1875,1.010434e-01,9.070467e-03,0.000000e+00
0.375,1.164141e-01,1.719124e-02,6.399536e-03
0.5625,1.224369e-01,2.362744e-02,1.045726e-02
0.75,1.432096e-01,3.084707e-02,1.257508e-02
0.9375,1.360428e-01,3.873718e-02,1.760646e-02
1.125,1.810048e-01,4.572860e-02,2.356406e-02
1.3125,1.809540e-01,5.209312e-02,2.957719e-02
1.5,1.996831e-01,5.916131e-02,3.467423e-02
1.6875,2.279939e-01,6.630780e-02,4.033743e-02
1.875,2.193587e-01,7.426705e-02,4.597742e-02
2.0625,2.479538e-01,8.234082e-02,5.106077e-02
2.25,2.579743e-01,9.115449e-02,5.652587e-02
2.4375,2.705348e-01,9.967717e-02,6.184477e-02
2.625,2.794409e-01,1.088679e-01,6.672841e-02
2.8125,2.702160e-01,1.170656e-01,7.233929e-02
3.0,2.874547e-01,1.258960e-01,7.880203e-02
3.1875,2.932030e-01,1.351844e-01,8.517476e-02
3.375,2.919128e-01,1.437524e-01,9.096661e-02
3.5625,3.031317e-01,1.530581e-01,9.759255e-02
3.75,3.092109e-01,1.625301e-01,1.066958e-01
3.9375,3.127555e-01,1.700887e-01,1.127480e-01
4.125,3.234381e-01,1.779687e-01,1.191280e-01
4.3125,3.360263e-01,1.877452e-01,1.264739e-01
4.5,3.535021e-01,1.989689e-01,1.328978e-01
4.6875,3.677172e-01,2.090682e-01,1.398446e-01
4.875,3.734632e-01,2.194278e-01,1.468000e-01
5.0625,3.848990e-01,2.307714e-01,1.538496e-01
5.25,3.931870e-01,2.409551e-01,1.608405e-01
5.4375,4.075359e-01,2.504180e-01,1.683415e-01
5.625,4.249860e-01,2.608484e-01,1.761282e-01
5.8125,4.340739e-01,2.711087e-01,1.835623e-01
6.0,4.599017e-01,2.817631e-01,1.911770e-01
6.1875,4.774999e-01,2.932256e-01,1.986039e-01
6.375,4.817746e-01,3.045252e-01,2.062162e-01
6.5625,4.942128e-01,3.172900e-01,2.137301e-01
6.75,5.173484e-01,3.295881e-01,2.213345e-01
6.9375,5.488971e-01,3.415361e-01,2.290663e-01
7.125,5.517880e-01,3.531894e-01,2.366155e-01
7.3125,5.613332e-01,3.639546e-01,2.448727e-01
7.5,5.716611e-01,3.742983e-01,2.527465e-01
7.6875,6.033143e-01,3.855232e-01,2.605888e-01
7.875,6.249924e-01,3.964886e-01,2.685367e-01
8.0625,6.291645e-01,4.071943e-01,2.767221e-01
8.25,6.462603e-01,4.170837e-01,2.833470e-01
8.4375,6.447516e-01,4.276551e-01,2.883819e-01
8.625,6.436423e-01,4.393359e-01,2.960042e-01
8.8125,6.532688e-01,4.491905e-01,2.994040e-01
9.0,6.444881e-01,4.562288e-01,3.015415e-01
9.1875,6.389766e-01,4.631532e-01,3.032760e-01
9.375,6.394940e-01,4.695588e-01,3.061022e-01
