time [sec], Roll [rad], Pitch [rad], Yaw [rad]
0.0,0.000000e+00,0.000000e+00,0.000000e+00
0.075,1.127579e-02,-4.449104e-02,-5.607076e-02
0.15,-7.551838e-01,-8.827588e-02,-1.338052e-02
0.22499999999999998,-4.372022e-01,-1.623457e-01,-3.453712e-02
0.3,-2.425366e-01,-1.477856e-01,-1.054647e-02
0.375,-1.271857e-01,-1.350451e-01,9.830710e-02
0.44999999999999996,-2.054494e-01,-1.095374e-01,4.448210e-02
0.525,-1.193903e-03,-1.322370e-01,5.820945e-02
0.6,-1.797887e-01,-1.236278e-01,-1.368086e-01
0.6749999999999999,2.459252e-01,-4.999530e-02,-6.363164e-02
0.75,1.377150e-01,-5.824981e-03,-6.564619e-03
0.825,-1.891597e-01,3.157704e-02,-5.610881e-02
0.8999999999999999,-2.687222e-01,-1.633542e-02,-1.357709e-01
0.975,2.463642e-01,1.932591e-04,-1.521835e-01
1.05,-8.657233e-02,-7.867872e-02,-1.767582e-01
1.125,-4.366228e-01,-9.196024e-02,-2.335314e-01
1.2,-3.061635e-01,-4.362312e-02,-1.688182e-01
1.275,-2.209368e-01,-1.796410e-01,-1.458892e-01
1.3499999999999999,-6.626707e-01,-1.120125e-01,-1.882261e-01
1.425,-6.365494e-01,-1.196529e-01,-2.443201e-01
1.5,-8.811390e-01,-7.365282e-02,-2.877398e-01
1.575,-2.113961e-01,-2.395905e-02,-2.753753e-01
1.65,-8.400274e-01,3.973546e-03,-3.435002e-01
1.7249999999999999,-4.738196e-01,7.813539e-02,-3.603006e-01
1.7999999999999998,-7.960461e-01,8.161263e-02,-4.539537e-01
1.875,-2.505598e-01,2.022578e-03,-4.833968e-01
1.95,-2.997269e-01,-4.571109e-03,-5.208919e-01
2.025,6.101722e-01,3.210476e-02,-4.597810e-01
2.1,-3.332549e-01,7.098769e-02,-4.851148e-01
2.175,-4.681667e-01,8.200171e-02,-4.265868e-01
2.25,-6.274650e-01,1.825914e-01,-4.138453e-01
2.3249999999999997,-6.251055e-01,1.761468e-01,-3.999230e-01
2.4,-3.868215e-01,7.291648e-02,-4.437713e-01
2.475,-3.085312e-01,1.303417e-01,-4.658428e-01
2.55,-3.710932e-01,1.253095e-01,-5.391424e-01
