time [sec], Delta x [um], Delta y [um], Delta z [um]
0.0,0.000000e+00,0.000000e+00,0.000000e+00
0.075,-2.244982e+00,-1.918716e+00,2.389894e+00
0.15,-7.303532e-01,-7.054808e-01,-5.672656e-01
0.22499999999999998,7.474754e-01,1.989695e+00,-2.842321e+00
0.3,-2.115007e-02,-3.943236e-01,-1.753639e+00
0.375,2.810878e-01,1.240632e+00,-1.862000e+00
0.44999999999999996,-1.269169e+00,-5.177085e+00,4.070771e+00
0.525,2.941933e+00,2.612125e+00,-5.150998e+00
0.6,1.768031e+00,1.615229e+00,-5.541629e-01
0.6749999999999999,3.612021e+00,3.851244e+00,-2.566355e+00
0.75,1.870900e+00,4.010364e+00,-2.938567e+00
0.825,2.991592e+00,4.735863e+00,-1.308007e+00
0.8999999999999999,4.338871e-01,4.404821e+00,-2.889510e+00
0.975,1.155460e+00,5.793014e+00,-4.563505e+00
1.05,9.279567e-01,5.040026e+00,-2.671629e+00
1.125,-9.332047e-01,4.151845e+00,-3.674261e-01
1.2,-3.411205e+00,9.037220e-01,7.301958e+00
1.275,-2.266882e-01,4.646624e+00,-2.825327e+00
1.3499999999999999,-8.641086e-02,5.137067e+00,-3.038426e+00
1.425,-4.433738e-01,4.632344e+00,-3.734873e+00
1.5,-2.107867e+00,4.491291e+00,-2.010393e+00
1.575,-1.942865e+00,5.809546e+00,-3.565569e+00
1.65,-2.635333e+00,5.731290e+00,-1.996314e-01
1.7249999999999999,-5.504624e+00,4.284914e+00,5.764949e-01
1.7999999999999998,-5.646897e+00,4.098307e+00,1.736999e+00
1.875,-5.552774e+00,3.211113e+00,3.411023e+00
1.95,-5.132441e+00,3.314893e+00,3.666579e+00
2.025,-7.982356e+00,3.329227e+00,4.810761e+00
2.1,-7.583849e+00,3.703386e+00,5.831639e+00
2.175,-7.436707e+00,3.555569e+00,5.680487e+00
2.25,-7.479794e+00,2.597915e+00,3.890980e+00
2.3249999999999997,-6.893821e+00,4.792298e+00,6.113648e-01
2.4,-4.658968e+00,5.159472e+00,3.154978e+00
2.475,-3.414166e+00,6.459926e+00,7.208251e+00
2.55,-1.725624e+00,7.433000e+00,3.500086e+00
2.625,-3.170883e+00,7.700844e+00,5.309319e+00
2.6999999999999997,-5.183120e+00,7.568715e+00,4.684253e+00
2.775,-6.704985e+00,8.240604e+00,1.591939e+00
2.85,-5.613736e+00,9.759935e+00,3.476567e+00
2.925,-5.266289e+00,9.334641e+00,1.777225e+00
3.0,-5.706346e+00,9.920966e+00,2.557040e-01
3.0749999999999997,-6.150203e+00,8.969594e+00,1.674556e+00
3.15,-4.764620e+00,8.312709e+00,7.279580e-01
3.225,-5.138809e+00,8.019991e+00,3.527784e+00
3.3,-4.219086e+00,6.627501e+00,2.790171e+00
3.375,-2.710491e+00,7.819242e+00,4.627533e+00
3.4499999999999997,-3.062750e+00,8.225978e+00,8.992005e-01
3.525,-6.284888e+00,9.091422e+00,9.058538e-01
3.5999999999999996,-6.662642e+00,7.484930e+00,-1.521167e+00
3.675,-6.257407e+00,7.424636e+00,-2.542581e-01
3.75,-6.286621e+00,8.436433e+00,-2.034408e+00
3.8249999999999997,-4.427968e+00,8.711185e+00,-6.532000e+00
3.9,-5.266138e+00,7.907584e+00,-8.402444e+00
3.9749999999999996,-6.395092e+00,6.602791e+00,-9.716438e+00
4.05,-4.956202e+00,6.872418e+00,-7.415398e+00
4.125,-6.225539e+00,5.624163e+00,-6.044513e+00
4.2,-6.932118e+00,4.889173e+00,-4.348324e+00
4.2749999999999995,-6.771202e+00,4.575161e+00,-3.237723e+00
4.35,-9.703345e+00,4.114501e+00,-4.795922e+00
4.425,-7.675057e+00,2.671947e+00,-5.179867e+00
4.5,-6.051742e+00,2.321671e+00,-7.376157e+00
4.575,-1.042887e+01,1.291747e+00,-5.254760e+00
4.6499999999999995,-1.220673e+01,1.259350e-01,-8.422162e+00
4.725,-1.396419e+01,1.895766e+00,-6.604323e+00
4.8,-1.212695e+01,2.743193e+00,-5.059824e+00
4.875,-1.423218e+01,2.227162e+00,-7.085221e+00
4.95,-1.522109e+01,1.513578e+00,-6.028508e+00
5.0249999999999995,-1.487338e+01,3.841796e+00,-6.614669e+00
5.1,-1.576306e+01,-5.435358e-02,-1.084236e+01
5.175,-1.483970e+01,9.075514e-01,-1.184805e+01
5.25,-1.487726e+01,-3.478396e-02,-1.438498e+01
5.325,-1.369967e+01,-1.815392e+00,-1.621017e+01
5.3999999999999995,-1.552994e+01,-3.673401e+00,-1.794077e+01
5.475,-1.438056e+01,-1.385647e+00,-1.269058e+01
5.55,-1.625579e+01,-2.226771e+00,-1.480817e+01
5.625,-1.646594e+01,1.611438e-03,-1.126015e+01
5.7,-1.511913e+01,-1.867299e+00,-1.218243e+01
5.7749999999999995,-1.324234e+01,-7.722749e-01,-1.082046e+01
5.85,-1.211810e+01,-1.483814e+00,-1.172727e+01
5.925,-1.266800e+01,-3.241612e+00,-1.448686e+01
6.0,-1.201082e+01,-2.214651e+00,-1.253790e+01
6.075,-1.414993e+01,-2.324260e+00,-1.224481e+01
6.1499999999999995,-1.313839e+01,-5.841337e+00,-1.566569e+01
6.225,-1.519684e+01,-4.489222e+00,-1.475728e+01
6.3,-1.382051e+01,-7.880495e+00,-1.650352e+01
6.375,-9.760017e+00,-5.889978e+00,-1.657374e+01
6.45,-1.020285e+01,-4.956404e+00,-1.544282e+01
6.5249999999999995,-1.200825e+01,-4.286589e+00,-1.511733e+01
6.6,-9.221061e+00,-3.864314e+00,-1.448137e+01
6.675,-8.603457e+00,-4.929180e+00,-1.694671e+01
6.75,-1.310644e+01,-2.778713e+00,-1.342826e+01
6.825,-1.021830e+01,-3.000406e+00,-1.443770e+01
6.8999999999999995,-9.838173e+00,-3.323416e+00,-1.642173e+01
6.975,-1.034744e+01,-1.201242e+00,-1.514973e+01
7.05,-1.246208e+01,-1.977515e+00,-1.511881e+01
7.125,-1.128088e+01,-2.295603e+00,-1.816829e+01
7.199999999999999,-1.203659e+01,-2.610313e+00,-1.947627e+01
7.2749999999999995,-1.086502e+01,-3.921595e+00,-2.027724e+01
7.35,-1.036023e+01,-3.022923e+00,-1.763600e+01
7.425,-8.657415e+00,-3.877392e+00,-1.815068e+01
7.5,-4.606824e+00,-7.105118e+00,-3.030247e+01
7.574999999999999,-1.301661e+01,-2.407443e+00,-1.921375e+01
7.6499999999999995,-1.361179e+01,-4.302183e+00,-1.827529e+01
7.725,-1.199195e+01,-4.503802e+00,-1.893301e+01
7.8,-1.025762e+01,-5.398460e+00,-2.277158e+01
7.875,-1.256571e+01,-5.158266e+00,-1.719949e+01
7.949999999999999,-1.462637e+01,-3.036217e+00,-1.541959e+01
8.025,-1.477776e+01,-2.343687e+00,-1.619481e+01
8.1,-1.448353e+01,-4.601878e+00,-1.850606e+01
8.174999999999999,-1.183879e+01,-1.587211e+00,-1.768002e+01
8.25,-1.203127e+01,-3.266570e+00,-1.896805e+01
8.325,-1.358643e+01,-4.956241e+00,-1.984201e+01
8.4,-7.565399e+00,-1.254095e+01,-2.920277e+01
8.475,-1.511292e+01,-4.221349e+00,-1.703289e+01
8.549999999999999,-1.319120e+01,-6.249195e+00,-1.856744e+01
8.625,-1.311501e+01,-7.273536e+00,-2.080461e+01
8.7,-1.129406e+01,-6.815918e+00,-2.233106e+01
8.775,-1.667069e+01,-5.714204e+00,-2.051357e+01
8.85,-1.899272e+01,-4.325321e+00,-2.026256e+01
8.924999999999999,-1.546593e+01,-7.283898e+00,-3.373621e+01
9.0,-2.170057e+01,-3.106447e+00,-1.960989e+01
9.075,-2.478634e+01,-5.049594e+00,-1.802527e+01
9.15,-2.498767e+01,-6.143967e+00,-2.018013e+01
9.225,-2.478752e+01,-5.907330e+00,-1.912516e+01
9.299999999999999,-2.770100e+01,-4.221059e+00,-1.729070e+01
9.375,-2.714677e+01,-4.173189e+00,-1.623181e+01
9.45,-2.545110e+01,-4.686653e+00,-1.725272e+01
9.525,-2.413304e+01,-3.829209e+00,-1.834441e+01
9.6,-2.468520e+01,-2.459112e+00,-1.899266e+01
9.674999999999999,-2.621158e+01,-1.983117e+00,-1.940307e+01
9.75,-2.650491e+01,9.082232e-01,-1.862718e+01
9.825,-2.548002e+01,-6.359916e-01,-2.115975e+01
9.9,-2.827433e+01,-1.111100e+00,-1.777344e+01
9.975,-2.457910e+01,-3.264574e+00,-2.127997e+01
10.049999999999999,-2.379445e+01,-3.002132e+00,-2.243783e+01
10.125,-2.590984e+01,-1.163577e+00,-2.344239e+01
10.2,-2.476285e+01,-1.185817e+00,-2.216501e+01
10.275,-2.369723e+01,-2.576058e-01,-2.192711e+01
10.35,-2.418609e+01,-1.134637e+00,-2.294711e+01
10.424999999999999,-2.527856e+01,-1.806987e+00,-2.175912e+01
10.5,-2.059024e+01,-1.041244e+00,-3.572149e+01
10.575,-2.633259e+01,-1.340344e+00,-2.162669e+01
10.65,-2.854123e+01,-3.841412e-01,-2.271527e+01
10.725,-2.752580e+01,-1.006862e+00,-2.490939e+01
10.799999999999999,-3.188095e+01,-5.016826e-01,-2.018639e+01
10.875,-2.902860e+01,9.862497e-01,-2.152264e+01
10.95,-3.407337e+01,6.784619e-01,-1.679235e+01
11.025,-3.438645e+01,2.116726e+00,-1.717098e+01
11.1,-3.517197e+01,3.783815e+00,-1.618000e+01
11.174999999999999,-3.668220e+01,3.397490e+00,-2.765159e+00
11.25,-3.226056e+01,2.183326e+00,-1.496936e+01
11.325,-3.344270e+01,2.668661e+00,-1.471552e+01
11.4,-3.292938e+01,3.754224e+00,-1.415546e+01
11.475,-3.371973e+01,5.164099e+00,-1.394022e+01
11.549999999999999,-3.327536e+01,5.217564e+00,-1.342087e+01
11.625,-3.286962e+01,7.622633e+00,-1.405194e+01
11.7,-3.367590e+01,6.098449e+00,-3.967260e+00
11.775,-2.996020e+01,5.627976e+00,-1.803856e+01
11.85,-3.186711e+01,4.897597e+00,-4.937959e+00
11.924999999999999,-2.793271e+01,6.750679e+00,-1.762388e+01
12.0,-2.531931e+01,1.015839e+01,-2.089359e+01
12.075,-2.672566e+01,1.001316e+01,-1.913739e+01
12.15,-2.567662e+01,9.421184e+00,-1.911064e+01
12.225,-2.776199e+01,7.559023e+00,-1.901606e+01
12.299999999999999,-2.667211e+01,7.659401e+00,-1.943805e+01
12.375,-2.592247e+01,4.779906e+00,-1.847075e+01
12.45,-2.652117e+01,5.114413e+00,-1.487837e+01
12.525,-2.747682e+01,5.321961e+00,-1.716772e+01
12.6,-2.682167e+01,6.170415e+00,-1.662277e+01
12.674999999999999,-2.817838e+01,8.151984e+00,-1.704636e+01
12.75,-2.959496e+01,6.618855e+00,-1.565785e+01
12.825,-2.970088e+01,7.429871e+00,-5.297722e+00
12.9,-3.102409e+01,8.072455e+00,-2.239558e+01
12.975,-3.280553e+01,9.271565e+00,-2.268840e+01
13.049999999999999,-3.370522e+01,7.780065e+00,-2.256272e+01
13.125,-2.911365e+01,5.451458e+00,-3.806461e+01
13.2,-3.076047e+01,6.044227e+00,-2.117760e+01
13.275,-2.967304e+01,3.959974e+00,-3.811666e+01
13.35,-2.956712e+01,7.752147e+00,-2.218980e+01
13.424999999999999,-3.003937e+01,4.959742e+00,-2.660972e+01
13.5,-3.102372e+01,3.867638e+00,-2.384750e+01
13.575,-3.087209e+01,2.991420e+00,-2.805379e+01
13.65,-3.137481e+01,2.054808e+00,-2.266134e+01
13.725,-3.068419e+01,8.088186e-01,-2.543721e+01
13.799999999999999,-3.227737e+01,1.557131e+00,-2.302892e+01
13.875,-3.324554e+01,-2.666273e-01,-2.207886e+01
13.95,-3.364750e+01,-3.479532e-01,-2.165391e+01
14.025,-3.082666e+01,-7.603914e-01,-2.448718e+01
14.1,-3.084440e+01,-1.523525e+00,-2.434169e+01
14.174999999999999,-2.860706e+01,-2.185679e+00,-2.170567e+01
14.25,-2.936337e+01,-1.531592e+00,-1.912818e+01
14.325,-2.849236e+01,-1.970767e+00,-1.629213e+01
14.399999999999999,-2.853945e+01,-3.542632e+00,-2.012903e+01
14.475,-2.827058e+01,-3.762324e+00,-1.899518e+01
14.549999999999999,-2.967657e+01,-2.966572e+00,-2.732036e+01
14.625,-2.657708e+01,-2.193390e+00,-2.173765e+01
14.7,-2.487627e+01,-4.285619e-01,-1.117229e+01
14.774999999999999,-2.715850e+01,-2.292608e+00,-2.141118e+01
14.85,-2.184844e+01,-1.249562e+00,-2.149738e+01
14.924999999999999,-2.221131e+01,-1.360573e+00,-1.981500e+01
