lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-transversal [rad^2]
0.1875,2.071776e-02,1.005734e-02,3.797263e-03
0.375,3.761709e-02,2.175636e-02,7.527921e-03
0.5625,5.581276e-02,3.164700e-02,1.082892e-02
0.75,7.176724e-02,4.248535e-02,1.303794e-02
0.9375,8.274496e-02,5.358519e-02,1.480597e-02
1.125,9.551808e-02,6.287776e-02,1.660376e-02
1.3125,1.114490e-01,7.240542e-02,1.833859e-02
1.5,1.249070e-01,8.086872e-02,1.966819e-02
1.6875,1.352250e-01,8.727401e-02,2.066978e-02
1.875,1.413405e-01,9.149824e-02,2.064932e-02
2.0625,1.487980e-01,9.595925e-02,2.069348e-02
2.25,1.558912e-01,1.021336e-01,2.109556e-02
2.4375,1.648245e-01,1.093925e-01,2.140108e-02
2.625,1.732973e-01,1.169168e-01,2.249589e-02
2.8125,1.811748e-01,1.256824e-01,2.356059e-02
3.0,1.907449e-01,1.347402e-01,2.513072e-02
3.1875,2.044410e-01,1.421449e-01,2.791069e-02
3.375,2.170243e-01,1.485796e-01,2.968558e-02
3.5625,2.285739e-01,1.551640e-01,3.194449e-02
3.75,2.379917e-01,1.589804e-01,3.344025e-02
3.9375,2.459714e-01,1.619825e-01,3.479038e-02
4.125,2.583978e-01,1.611186e-01,3.600466e-02
4.3125,2.742666e-01,1.594363e-01,3.648952e-02
4.5,2.891374e-01,1.585372e-01,3.685269e-02
4.6875,3.058055e-01,1.559761e-01,3.614384e-02
4.875,3.231785e-01,1.547812e-01,3.450393e-02
5.0625,3.372854e-01,1.550338e-01,3.343062e-02
5.25,3.543304e-01,1.555288e-01,3.296622e-02
5.4375,3.705116e-01,1.565452e-01,3.233261e-02
5.625,3.835864e-01,1.571000e-01,3.217766e-02
5.8125,3.954803e-01,1.586205e-01,3.183078e-02
6.0,3.970521e-01,1.631351e-01,3.274974e-02
6.1875,4.016171e-01,1.672221e-01,3.285301e-02
6.375,4.053833e-01,1.724350e-01,3.336409e-02
6.5625,4.094945e-01,1.782322e-01,3.438542e-02
6.75,4.133922e-01,1.823780e-01,3.437524e-02
6.9375,4.155126e-01,1.842147e-01,3.474097e-02
7.125,4.176163e-01,1.854716e-01,3.504054e-02
7.3125,4.228804e-01,1.872613e-01,3.487317e-02
7.5,4.293524e-01,1.887834e-01,3.443948e-02
7.6875,4.456903e-01,1.919036e-01,3.378527e-02
7.875,4.644246e-01,1.975923e-01,3.297876e-02
8.0625,4.803010e-01,2.050757e-01,3.230108e-02
8.25,4.944087e-01,2.122096e-01,3.224191e-02
8.4375,5.079142e-01,2.198587e-01,3.286179e-02
8.625,5.180403e-01,2.271291e-01,3.402842e-02
8.8125,5.350577e-01,2.346151e-01,3.515995e-02
9.0,5.461952e-01,2.401640e-01,3.744688e-02
9.1875,5.556741e-01,2.448407e-01,3.895226e-02
9.375,5.627718e-01,2.477009e-01,4.072128e-02
