lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-transversal [rad^2]
0.1875,2.259733e-02,1.052342e-02,0.000000e+00
0.375,4.367278e-02,2.222246e-02,2.978498e-03
0.5625,6.669665e-02,3.259706e-02,5.254977e-03
0.75,8.574821e-02,4.268267e-02,7.897700e-03
0.9375,1.044887e-01,5.113168e-02,1.079468e-02
1.125,1.210311e-01,5.995469e-02,1.314207e-02
1.3125,1.375558e-01,6.778805e-02,1.599887e-02
1.5,1.516792e-01,7.409130e-02,1.851192e-02
1.6875,1.650648e-01,7.988348e-02,2.115393e-02
1.875,1.722079e-01,8.627834e-02,2.402345e-02
2.0625,1.778085e-01,9.172730e-02,2.689181e-02
2.25,1.856007e-01,9.729212e-02,2.974680e-02
2.4375,1.921371e-01,1.020474e-01,3.291252e-02
2.625,1.990834e-01,1.079347e-01,3.601632e-02
2.8125,2.074485e-01,1.120022e-01,3.874807e-02
3.0,2.093434e-01,1.178048e-01,4.205115e-02
3.1875,2.159762e-01,1.269817e-01,4.485780e-02
3.375,2.283346e-01,1.375756e-01,4.780489e-02
3.5625,2.442218e-01,1.451601e-01,5.064949e-02
3.75,2.544098e-01,1.510800e-01,5.330476e-02
3.9375,2.626458e-01,1.587017e-01,5.587680e-02
4.125,2.682065e-01,1.669549e-01,5.829190e-02
4.3125,2.785390e-01,1.731292e-01,6.009841e-02
4.5,2.821635e-01,1.789404e-01,6.246713e-02
4.6875,2.912853e-01,1.858890e-01,6.508220e-02
4.875,3.009299e-01,1.941872e-01,6.704679e-02
5.0625,3.083020e-01,2.006530e-01,6.887118e-02
5.25,3.161682e-01,2.078169e-01,7.090677e-02
5.4375,3.260187e-01,2.167971e-01,7.342757e-02
5.625,3.336357e-01,2.275398e-01,7.665474e-02
5.8125,3.437590e-01,2.381519e-01,7.905719e-02
6.0,3.498088e-01,2.466311e-01,8.196339e-02
6.1875,3.595001e-01,2.573730e-01,8.496604e-02
6.375,3.664211e-01,2.696415e-01,8.810087e-02
6.5625,3.729998e-01,2.772086e-01,9.134638e-02
6.75,3.811365e-01,2.808054e-01,9.437481e-02
6.9375,3.852193e-01,2.863137e-01,9.763647e-02
7.125,3.848794e-01,2.911725e-01,1.008986e-01
7.3125,3.846739e-01,2.967147e-01,1.034708e-01
7.5,3.864056e-01,3.020762e-01,1.060409e-01
7.6875,3.923441e-01,3.086339e-01,1.083943e-01
7.875,4.010645e-01,3.125090e-01,1.107059e-01
8.0625,4.110531e-01,3.156957e-01,1.126737e-01
8.25,4.252646e-01,3.178749e-01,1.144538e-01
8.4375,4.370043e-01,3.194722e-01,1.158655e-01
8.625,4.454455e-01,3.211423e-01,1.181839e-01
8.8125,4.572214e-01,3.228584e-01,1.193935e-01
9.0,4.678894e-01,3.241267e-01,1.207496e-01
9.1875,4.803235e-01,3.308288e-01,1.217301e-01
9.375,4.937140e-01,3.428035e-01,1.228725e-01
